Gender;År;Månad;Månad_Nummer;Säsong;Antal_Döda
Kvinnor;2011;Maj;5;Vår;19.0
Kvinnor;2011;Juni;6;Sommar;26.0
Kvinnor;2011;Juli;7;Sommar;34.0
Kvinnor;2011;Augusti;8;Sommar;25.0
Kvinnor;2011;September;9;Höst;24.0
Kvinnor;2011;Oktober;10;Höst;24.0
Kvinnor;2011;November;11;Höst;25.0
Kvinnor;2011;December;12;Vinter;20.0
Kvinnor;2012;Januari;1;Vinter;27.0
Kvinnor;2012;Februari;2;Vinter;24.0
Kvinnor;2012;Mars;3;Vår;39.0
Kvinnor;2012;April;4;Vår;20.0
Kvinnor;2012;Maj;5;Vår;25.0
Kvinnor;2012;Juni;6;Sommar;29.0
Kvinnor;2012;Juli;7;Sommar;25.0
Kvinnor;2012;Augusti;8;Sommar;32.0
Kvinnor;2012;September;9;Höst;32.0
Kvinnor;2012;Oktober;10;Höst;33.0
Kvinnor;2012;November;11;Höst;29.0
Kvinnor;2012;December;12;Vinter;17.0
Kvinnor;2013;Januari;1;Vinter;35.0
Kvinnor;2013;Februari;2;Vinter;23.0
Kvinnor;2013;Mars;3;Vår;27.0
Kvinnor;2013;April;4;Vår;44.0
Kvinnor;2013;Maj;5;Vår;25.0
Kvinnor;2013;Juni;6;Sommar;23.0
Kvinnor;2013;Juli;7;Sommar;32.0
Kvinnor;2013;Augusti;8;Sommar;34.0
Kvinnor;2013;September;9;Höst;32.0
Kvinnor;2013;Oktober;10;Höst;28.0
Kvinnor;2013;November;11;Höst;32.0
Kvinnor;2013;December;12;Vinter;33.0
Kvinnor;2014;Januari;1;Vinter;30.0
Kvinnor;2014;Februari;2;Vinter;37.0
Kvinnor;2014;Mars;3;Vår;38.0
Kvinnor;2014;April;4;Vår;28.0
Kvinnor;2014;Maj;5;Vår;22.0
Kvinnor;2014;Juni;6;Sommar;30.0
Kvinnor;2014;Juli;7;Sommar;24.0
Kvinnor;2014;Augusti;8;Sommar;33.0
Kvinnor;2014;September;9;Höst;37.0
Kvinnor;2014;Oktober;10;Höst;25.0
